x,y,z,nx,ny,nz,sk
1.6079453286e-01,-1.0000000000e+00,1.1052197715e-01,0.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,3.8272000351e-03
-9.4549610722e-01,8.0680404941e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,4.2848000393e-03
5.0531548221e-01,7.3289572223e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,2.3400000215e-03
-4.7951470130e-01,-7.0051632547e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,4.0976000376e-03
5.0891954496e-01,4.5955475650e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,2.6832000246e-03
7.0538197688e-01,-9.9615512498e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.4944000320e-03
-5.6083009126e-01,1.7393853227e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.7232000341e-03
9.3651772653e-02,-1.9352835480e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.4232000222e-03
-2.0998473104e-01,-2.3002086278e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.5568000326e-03
5.9378937275e-01,-3.6805219793e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.1720000291e-03
7.2232162304e-01,-9.9338374683e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,4.1392000380e-03
-4.3176273704e-01,3.0855598507e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.2344000297e-03
8.5720710245e-02,4.1412842171e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.8168000350e-03
3.3151855051e-01,-4.7687176520e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,4.1392000380e-03
-1.3594529757e-01,7.8452873964e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.2136000295e-03
8.3336116692e-01,-6.1575770829e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.9936000366e-03
9.3790736627e-01,4.0268310434e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.6504000335e-03
8.9259396674e-01,6.8124163281e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.2136000295e-03
5.4293423247e-01,-7.3234266182e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.4424000316e-03
-1.0179454904e-01,-8.5401748506e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.3592000308e-03
-8.3217798317e-02,3.4033034146e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.6400000334e-03
